,NA06984,NA06985,NA06986,NA06989,NA06994,NA07000,NA07037,NA07048,NA07051,NA07056,NA07347,NA07357,NA10847,NA10851,NA11829,NA11830,NA11831,NA11832,NA11840,NA11843,NA11881,NA11892,NA11893,NA11894,NA11918,NA11919,NA11920,NA11930,NA11931,NA11932,NA11933,NA11992,NA11994,NA11995,NA12003,NA12004,NA12005,NA12006,NA12043,NA12044,NA12045,NA12046,NA12058,NA12144,NA12154,NA12155,NA12156,NA12234,NA12249,NA12272,NA12273,NA12275,NA12282,NA12283,NA12286,NA12287,NA12340,NA12341,NA12342,NA12347,NA12348,NA12383,NA12399,NA12400,NA12413,NA12414,NA12489,NA12546,NA12716,NA12717,NA12718,NA12748,NA12749,NA12750,NA12751,NA12760,NA12761,NA12762,NA12763,NA12775,NA12776,NA12777,NA12778,NA12812,NA12813,NA12814,NA12815,NA12827,NA12828,NA12829,NA12830,NA12842,NA12843,NA12872,NA12873,NA12874,NA12878,NA12889,NA12890,NA18525,NA18526,NA18528,NA18530,NA18531,NA18532,NA18533,NA18534,NA18535,NA18536,NA18537,NA18538,NA18539,NA18541,NA18542,NA18543,NA18544,NA18545,NA18546,NA18547,NA18548,NA18549,NA18550,NA18552,NA18553,NA18555,NA18557,NA18558,NA18559,NA18560,NA18561,NA18562,NA18563,NA18564,NA18565,NA18566,NA18567,NA18570,NA18571,NA18572,NA18573,NA18574,NA18577,NA18579,NA18582,NA18591,NA18592,NA18593,NA18595,NA18596,NA18597,NA18599,NA18602,NA18603,NA18605,NA18606,NA18608,NA18609,NA18610,NA18611,NA18612,NA18613,NA18614,NA18615,NA18616,NA18617,NA18618,NA18619,NA18620,NA18621,NA18622,NA18623,NA18624,NA18625,NA18626,NA18627,NA18628,NA18629,NA18630,NA18631,NA18632,NA18633,NA18634,NA18635,NA18636,NA18637,NA18638,NA18639,NA18640,NA18641,NA18642,NA18643,NA18644,NA18645,NA18646,NA18647,NA18648,NA18740,NA18745,NA18747,NA18748,NA18749,NA18757,NA18486,NA18488,NA18489,NA18499,NA18501,NA18502,NA18504,NA18505,NA18507,NA18508,NA18510,NA18511,NA18516,NA18517,NA18519,NA18520,NA18522,NA18523,NA18853,NA18856,NA18858,NA18861,NA18864,NA18865,NA18867,NA18868,NA18870,NA18871,NA18873,NA18874,NA18876,NA18877,NA18878,NA18879,NA18881,NA18907,NA18908,NA18909,NA18910,NA18912,NA18915,NA18916,NA18917,NA18923,NA18924,NA18933,NA18934,NA19092,NA19093,NA19095,NA19096,NA19098,NA19099,NA19102,NA19107,NA19108,NA19113,NA19114,NA19116,NA19117,NA19118,NA19119,NA19121,NA19129,NA19130,NA19131,NA19137,NA19138,NA19141,NA19143,NA19144,NA19146,NA19147,NA19149,NA19152,NA19153,NA19159,NA19160,NA19171,NA19172,NA19175,NA19184,NA19185,NA19189,NA19190,NA19197,NA19198,NA19200,NA19201,NA19204,NA19206,NA19207,NA19209,NA19210,NA19213,NA19214,NA19222,NA19223,NA19225,NA19235,NA19236,NA19238,NA19239,NA19240,NA19247,NA19248,NA19256,NA19257
150167000,49,96,97,28,34,64,54,46,29,28,83,35,80,21,91,22,38,117,67,43,52,25,21,29,63,74,66,45,30,34,40,51,121,30,49,61,94,59,31,56,75,52,52,62,76,146,40,49,16,20,33,34,40,34,25,20,41,38,115,38,45,44,49,52,46,73,47,48,34,28,19,39,48,69,38,49,40,31,54,58,22,58,36,47,34,33,52,26,33,42,33,38,53,53,58,62,42,34,38,66,44,47,21,58,54,67,28,49,48,37,69,30,59,44,57,42,37,58,45,43,45,53,42,89,32,46,61,52,49,29,31,42,63,45,27,37,47,49,26,34,29,64,57,50,25,34,46,38,42,37,72,27,66,39,43,41,20,46,46,55,25,42,50,47,72,27,13,73,74,95,88,59,40,51,44,33,31,15,31,46,54,31,42,57,50,35,17,31,43,37,32,41,38,34,47,33,36,27,37,36,59,50,83,43,81,61,25,28,84,45,17,21,71,32,45,36,95,34,30,29,30,96,26,44,45,39,97,116,62,30,68,30,39,47,47,35,54,41,57,30,69,74,44,51,18,26,25,25,23,40,24,38,37,64,33,73,27,31,26,27,33,42,35,55,43,45,66,53,47,30,20,9,36,46,24,14,71,32,25,23,73,44,34,40,39,46,30,21,24,27,29,57,55,35,24,43,131,60,38,32,35,53,38,19,28,21,54,65,44,45
150167500,69,85,96,30,38,46,52,30,36,17,87,30,82,34,74,26,42,92,58,49,38,42,15,23,53,88,70,44,23,38,37,46,100,19,27,39,79,52,23,46,70,42,36,48,62,105,42,48,17,31,28,31,44,36,29,27,39,37,108,37,43,40,46,44,48,68,56,47,31,38,23,32,34,51,38,58,43,62,60,57,26,46,44,47,30,33,33,35,38,55,41,46,44,47,37,46,28,48,38,69,32,42,20,42,42,51,19,41,38,32,64,37,41,30,57,43,17,55,37,43,29,48,40,74,29,49,37,43,50,27,40,30,43,44,26,37,27,48,36,33,26,57,52,43,20,37,27,50,40,38,52,26,61,41,47,41,16,45,23,50,25,50,36,32,43,24,12,60,52,66,52,39,25,49,47,33,8,21,25,43,47,38,45,62,56,36,15,39,28,18,17,35,18,39,50,19,47,22,37,32,44,13,44,41,56,39,52,36,93,27,19,18,88,28,30,36,71,25,23,28,32,43,16,30,48,38,88,101,65,23,50,17,28,38,35,35,35,22,68,36,50,88,33,49,49,20,25,20,29,41,35,46,22,35,40,75,30,39,36,27,23,35,17,70,37,43,40,54,34,29,21,19,19,38,23,21,74,28,39,35,48,56,39,27,22,28,21,31,26,25,19,80,51,46,37,32,99,32,57,26,28,30,39,33,38,29,43,42,33,38
150168000,71,84,76,42,35,45,48,28,23,19,65,26,60,45,87,19,26,66,53,48,48,46,33,25,52,97,54,43,34,40,38,50,128,33,26,46,60,66,30,54,74,40,55,56,56,111,32,47,38,20,24,35,47,34,20,28,42,49,135,38,32,37,47,36,35,52,42,43,30,34,16,28,41,38,33,55,40,24,49,50,27,40,40,27,36,19,23,40,23,41,34,34,29,59,21,35,28,39,29,31,24,40,30,33,34,26,17,40,26,19,45,44,43,30,32,30,6,38,31,27,41,43,29,73,26,43,24,38,41,28,30,31,42,20,20,34,21,32,24,28,29,47,59,37,14,28,23,39,29,32,33,23,42,30,33,44,21,35,19,46,16,47,28,30,30,12,15,31,49,45,65,52,26,36,26,37,25,26,17,37,48,20,37,43,39,29,12,27,33,15,22,17,27,27,39,23,27,10,23,17,38,11,33,25,57,51,34,19,53,32,11,23,62,18,31,32,66,28,20,26,18,32,17,22,33,26,82,120,55,35,63,29,31,38,32,39,37,24,51,34,41,59,38,41,36,34,35,21,15,31,30,52,15,33,23,66,22,31,21,20,32,20,16,75,24,23,48,57,30,34,25,20,23,19,17,16,34,15,30,13,49,55,31,28,20,18,23,27,36,29,29,49,34,23,14,25,107,21,37,20,17,44,36,21,18,25,46,49,34,19
150168500,58,105,57,48,26,49,30,42,15,25,87,28,43,33,76,17,59,100,56,37,52,47,52,37,68,73,62,53,36,33,31,61,124,28,36,57,65,64,24,55,70,49,66,50,65,91,25,39,23,23,26,29,54,31,34,28,31,53,108,41,41,46,51,48,48,65,55,53,36,33,20,27,40,38,36,54,26,33,51,43,30,60,22,38,36,39,46,36,33,40,36,29,28,62,56,47,25,34,20,63,55,40,36,26,37,44,25,29,40,24,51,41,45,41,51,40,35,55,49,31,53,45,38,70,47,44,43,29,47,38,41,36,51,54,30,40,32,28,17,31,36,56,63,44,24,33,32,49,41,40,48,21,51,28,48,57,19,45,23,53,30,47,41,35,38,8,24,49,57,73,68,72,21,53,44,43,30,21,25,41,56,20,40,61,44,44,25,42,56,35,25,20,44,36,53,27,47,23,54,39,42,33,71,35,59,70,31,22,62,36,30,22,54,27,32,36,61,25,30,29,22,51,23,31,57,37,97,88,63,39,60,61,38,53,42,47,24,39,54,43,64,58,47,42,51,27,31,23,31,50,37,43,54,45,19,82,24,26,33,45,29,40,50,100,42,31,52,61,31,42,24,23,15,63,28,11,60,34,43,20,55,50,39,39,17,39,32,23,31,32,17,59,47,20,35,29,88,33,48,45,24,47,37,16,31,25,43,51,48,23
150169000,48,79,107,43,25,61,50,53,28,26,76,22,57,39,86,14,39,120,45,42,47,36,46,45,55,81,81,65,29,46,36,40,98,42,35,62,68,67,29,61,61,42,58,42,66,88,38,48,19,24,29,23,38,32,50,25,45,232,128,45,30,50,50,35,46,70,65,41,32,26,15,26,45,40,51,33,37,62,48,51,38,62,46,68,23,61,45,50,31,58,48,43,46,47,52,48,27,49,48,69,46,45,28,39,31,46,26,35,46,27,39,45,62,65,78,57,52,70,49,51,40,56,36,93,36,63,56,59,45,35,36,53,66,45,40,61,39,41,22,36,39,72,74,52,44,37,41,62,46,37,58,28,68,55,44,69,18,51,30,79,25,44,41,37,56,11,10,71,60,72,73,62,23,49,67,47,38,24,23,57,59,27,45,80,57,42,25,59,61,35,30,43,45,30,77,24,56,33,73,42,68,53,41,50,80,58,37,31,101,36,24,38,63,30,35,34,66,27,47,31,23,66,17,39,50,44,116,91,52,35,50,36,44,54,63,40,26,39,51,30,67,57,44,42,21,22,26,23,26,39,45,49,72,49,33,88,37,24,32,36,31,72,63,55,65,43,36,48,44,46,17,22,40,62,32,27,47,22,43,28,42,40,47,67,42,46,34,17,23,33,33,49,40,35,34,40,104,44,42,25,48,51,33,27,16,21,35,39,50,44
150169500,52,85,85,45,30,53,37,45,22,32,91,33,80,32,74,27,43,85,45,52,34,40,59,30,56,61,85,61,22,43,32,59,109,27,41,65,68,48,36,85,71,25,39,60,69,102,31,38,23,10,47,31,43,41,38,21,30,35,109,37,42,39,38,53,44,51,51,50,26,36,13,36,44,39,38,48,34,42,49,50,36,56,44,63,29,45,51,32,24,36,41,52,23,43,55,46,27,38,44,61,46,36,28,37,61,46,18,20,42,23,40,35,48,61,70,59,47,48,51,31,48,50,50,54,47,50,52,53,43,27,28,53,63,25,46,49,39,45,28,39,41,73,68,55,28,39,52,41,51,41,64,28,60,55,43,49,22,44,41,66,19,36,35,48,42,11,20,72,63,70,77,64,36,41,38,43,31,20,40,51,56,32,42,84,50,51,29,47,47,50,46,29,28,34,44,12,31,38,40,49,83,54,57,41,78,60,34,21,72,32,25,36,60,25,39,29,69,48,27,33,31,82,20,30,42,46,103,78,52,30,68,75,41,37,58,38,20,23,55,30,55,38,32,44,31,28,22,36,20,49,32,47,48,49,33,77,45,29,37,21,32,54,37,73,45,37,75,47,22,36,12,16,33,64,25,25,55,20,42,28,52,53,45,65,45,36,40,22,20,24,34,57,41,22,31,40,101,48,31,21,55,47,42,27,33,25,43,46,44,40
150170000,55,87,105,53,40,64,35,39,28,30,98,32,67,28,86,33,33,103,51,51,32,45,46,27,71,86,92,37,30,33,40,45,107,35,44,68,82,30,36,80,58,32,67,67,56,116,23,44,28,15,36,23,39,28,43,35,44,39,110,46,24,29,48,72,45,69,74,49,31,28,22,34,49,47,40,43,32,47,43,57,28,51,47,68,33,43,61,39,24,39,26,48,41,54,36,57,26,45,46,63,53,47,29,40,45,53,15,44,51,31,37,33,38,72,68,51,42,54,41,28,55,48,37,50,53,57,64,50,41,28,40,39,43,35,41,64,48,52,23,40,46,54,50,55,38,35,56,52,41,49,74,32,61,40,56,60,24,44,40,59,16,42,29,32,50,9,23,67,57,62,76,78,40,45,42,41,31,26,33,58,66,36,45,54,60,44,17,59,41,23,43,16,49,50,62,24,45,26,39,48,58,42,65,31,77,72,26,31,73,40,14,47,73,18,29,36,75,45,18,22,14,91,19,24,61,40,103,73,77,42,79,51,44,39,44,42,22,29,67,26,51,69,44,42,38,32,23,40,23,46,29,47,33,42,42,92,38,29,43,25,39,32,56,64,59,27,83,39,35,31,13,25,20,38,36,28,73,50,54,38,62,35,33,48,50,33,24,11,21,18,36,52,54,35,29,35,107,45,44,41,45,54,42,17,36,31,63,60,37,28
150170500,57,72,94,38,38,49,34,22,17,35,86,30,68,33,80,12,30,96,57,44,40,51,28,18,48,46,54,54,27,37,46,55,117,38,53,63,74,57,35,54,57,43,50,56,87,106,41,38,23,17,34,28,38,36,37,36,41,30,119,36,35,32,47,44,42,79,69,46,26,26,12,42,70,38,34,58,34,37,40,55,38,54,46,47,25,36,42,35,22,21,28,57,44,48,23,43,31,28,43,47,44,40,30,37,37,40,21,64,46,27,56,21,43,52,50,38,24,49,28,30,49,43,39,68,20,43,63,54,34,26,30,32,47,20,27,45,49,58,11,52,38,48,44,41,32,34,42,49,41,48,52,22,53,45,50,51,22,34,38,50,28,50,32,27,47,14,9,53,50,62,68,54,30,42,63,42,32,23,27,65,47,25,37,56,42,50,10,33,39,21,29,30,29,43,39,16,23,26,30,31,41,19,51,24,85,56,33,27,77,18,13,37,58,18,50,33,74,42,21,39,21,64,25,40,56,42,110,80,61,44,65,70,40,32,48,29,29,24,56,19,53,65,28,39,27,24,27,38,24,59,30,46,50,48,33,89,25,29,38,33,41,34,34,55,30,41,49,55,33,30,19,24,33,40,32,20,59,26,39,25,36,53,33,52,25,24,19,23,16,31,16,41,47,34,20,41,101,34,23,21,34,43,34,14,24,26,55,27,25,28
150171000,47,80,81,27,28,37,43,30,10,30,86,27,49,36,74,22,33,87,60,43,33,30,32,27,52,75,59,57,30,34,38,50,114,17,25,57,57,70,33,86,84,45,64,46,64,106,37,33,21,17,27,17,36,39,41,31,35,36,124,35,41,36,41,38,33,66,72,55,30,42,12,47,38,61,28,53,33,44,40,50,41,49,32,22,36,11,30,29,33,51,42,58,49,56,19,14,37,49,46,46,37,60,30,45,33,45,38,39,34,26,33,48,42,33,50,42,11,44,40,21,33,42,36,112,39,62,47,42,44,33,28,42,59,20,33,27,31,36,25,42,31,38,32,31,32,36,31,37,37,26,43,17,56,46,38,47,20,30,24,55,23,40,33,23,38,14,3,22,46,52,59,55,23,48,71,30,32,22,28,52,50,15,36,61,55,39,7,13,35,6,10,31,9,29,21,17,25,15,8,9,32,15,35,26,39,60,51,29,73,33,8,35,83,26,33,28,84,27,29,38,19,53,26,16,44,14,58,77,71,23,42,24,30,39,28,32,30,19,43,39,33,92,36,30,25,22,42,24,22,32,50,37,11,33,32,99,30,48,29,27,22,19,10,59,30,32,27,62,34,44,28,36,25,21,31,5,51,29,27,28,39,54,39,23,15,17,28,23,22,23,33,41,37,31,36,53,78,11,32,26,29,40,36,20,31,17,39,15,36,36
150171500,62,104,97,22,40,57,50,46,19,23,96,35,64,33,99,15,37,103,53,34,38,49,34,27,66,89,65,62,30,60,35,57,116,28,45,63,71,77,27,80,87,27,57,52,40,73,41,54,11,15,38,35,46,50,44,26,32,45,125,44,50,56,28,33,45,68,69,54,37,36,23,53,48,54,29,70,33,43,43,56,27,49,32,67,22,40,52,56,32,43,38,54,51,62,55,35,31,43,36,62,37,65,23,62,45,49,21,24,52,22,65,65,56,45,58,62,28,58,48,38,53,48,49,111,42,60,68,49,46,52,30,56,54,31,47,34,44,28,21,51,33,44,40,47,27,36,56,48,45,44,66,34,69,51,53,53,26,40,32,55,23,48,45,33,42,21,13,42,47,83,74,60,22,56,61,36,24,22,21,62,80,21,40,64,42,50,26,36,57,30,25,25,38,43,45,17,43,37,40,36,44,36,46,34,84,88,60,23,85,24,13,40,53,23,53,37,81,24,27,39,21,55,34,23,43,28,37,79,74,26,19,13,40,47,38,34,47,20,33,32,32,84,46,42,28,46,24,21,16,58,30,51,46,47,29,87,31,34,21,34,24,43,29,82,44,22,19,72,42,47,33,18,44,53,28,16,77,29,40,29,71,15,42,35,31,41,27,24,17,23,24,79,34,23,34,62,57,41,49,26,24,26,20,26,38,34,24,25,35,29
150172000,56,95,77,32,28,65,39,24,27,38,108,47,56,33,93,31,40,93,36,26,60,51,30,26,69,100,75,50,23,43,45,71,131,33,37,56,82,69,21,71,86,39,50,40,66,103,34,37,11,19,39,32,50,36,47,38,26,29,113,44,51,31,42,50,34,74,49,52,29,36,16,38,43,55,47,66,28,38,31,70,41,41,33,67,61,51,46,40,32,29,42,26,33,57,57,83,31,48,48,61,43,52,30,33,52,47,21,30,48,31,34,55,39,60,57,63,52,55,43,44,66,53,46,89,30,56,63,48,54,48,36,46,62,45,43,58,47,35,21,42,35,55,47,49,31,38,64,58,51,37,70,31,60,53,60,52,22,36,39,74,32,50,36,43,54,16,17,79,52,70,78,76,25,57,51,39,35,19,31,51,65,40,41,60,60,61,39,58,45,25,46,36,36,40,54,17,50,28,45,55,59,40,66,25,92,63,45,41,87,29,24,32,58,23,29,21,92,30,28,34,23,75,44,30,45,39,84,68,51,38,44,37,30,42,46,43,51,20,53,22,39,52,40,43,26,13,47,28,15,54,28,43,36,53,38,74,40,38,39,25,37,51,52,97,50,36,53,50,44,28,27,29,35,56,30,22,61,50,49,20,50,39,36,40,43,55,32,25,18,28,17,48,52,31,42,30,95,71,43,37,34,48,31,20,19,17,39,18,38,25
150172500,53,88,89,30,32,56,59,40,20,39,74,37,56,23,72,26,55,129,53,36,59,62,43,36,64,96,56,49,26,44,34,47,119,42,37,49,86,55,22,82,66,39,47,55,58,120,40,40,25,20,39,36,41,42,46,27,26,34,87,53,49,43,52,47,41,65,47,50,32,20,22,25,51,63,57,55,29,44,34,61,33,29,66,43,30,34,47,37,20,27,43,28,31,59,53,45,30,37,23,75,47,40,30,42,44,41,20,36,55,33,55,32,47,51,44,47,34,62,43,35,53,57,51,85,33,51,56,53,33,41,40,40,54,28,38,48,39,44,19,58,34,58,66,38,19,49,60,51,35,41,57,27,60,47,42,56,20,46,36,58,26,38,23,42,53,11,15,53,63,72,82,64,35,59,51,46,25,18,17,56,62,33,37,56,58,52,41,62,39,17,23,13,28,23,46,18,43,37,40,42,38,32,80,30,83,83,34,28,75,39,30,32,61,22,33,42,67,41,20,32,36,61,32,41,52,46,124,75,51,25,36,55,29,44,44,33,37,21,83,16,53,53,34,41,33,29,37,39,14,45,33,37,60,36,31,94,43,28,38,27,39,33,32,77,39,42,63,59,38,26,30,14,29,61,36,19,40,33,39,21,52,46,34,42,31,25,20,22,18,23,28,58,41,53,32,37,92,32,36,24,43,41,33,27,26,17,42,46,41,34
150173000,53,104,71,31,35,68,41,46,18,28,68,32,66,23,90,24,47,117,53,32,51,43,43,16,73,86,67,48,23,49,41,42,109,27,49,71,79,61,42,78,80,34,47,70,51,134,35,41,12,17,52,30,55,41,54,27,33,43,119,41,45,53,55,47,45,58,70,44,38,29,31,37,52,45,37,62,36,39,44,44,39,53,44,47,30,57,49,52,30,33,21,42,44,49,42,46,57,55,38,85,39,47,28,54,48,35,15,36,54,36,45,54,43,44,46,47,28,63,57,43,52,63,54,112,42,64,61,58,66,27,40,58,68,33,57,58,47,51,25,78,29,60,62,44,39,57,46,78,62,45,79,27,74,45,46,67,26,44,27,47,22,51,32,36,42,29,10,47,45,68,106,75,42,63,45,63,18,22,30,57,66,27,56,71,62,68,18,34,40,20,26,33,48,40,61,24,37,28,35,40,47,33,35,48,62,45,47,33,88,19,11,38,55,28,39,40,73,41,32,46,39,72,32,45,46,46,71,98,59,39,31,10,47,30,72,40,34,22,41,25,54,87,41,41,26,25,24,20,19,64,40,57,34,37,35,76,33,30,45,36,12,50,43,43,57,34,28,57,24,52,30,26,33,46,29,20,84,27,50,27,38,38,49,44,28,45,43,22,32,25,32,37,46,24,41,50,98,35,35,32,50,62,48,33,22,17,36,24,42,40
150173500,63,117,83,26,35,52,58,43,20,41,76,33,60,26,76,22,26,103,45,39,50,52,44,33,49,88,72,48,32,38,35,63,140,27,35,63,93,66,30,96,100,41,50,67,65,119,49,43,18,21,43,27,46,39,39,32,35,47,126,63,46,66,50,45,46,76,77,38,36,37,39,50,60,48,25,46,39,61,37,49,41,65,39,60,38,30,47,39,32,32,42,40,54,52,47,40,37,38,35,62,54,46,19,44,44,32,28,35,60,35,49,56,48,40,52,37,50,58,58,45,53,57,56,98,38,80,75,65,61,39,33,51,61,42,51,60,51,51,24,53,32,75,55,65,23,58,75,67,53,51,62,38,85,65,58,67,26,46,33,62,33,48,41,52,51,21,14,51,73,77,96,68,44,56,59,45,39,20,36,72,74,26,57,85,53,67,24,51,37,16,28,25,39,40,40,32,61,29,32,35,44,31,63,40,79,49,40,26,81,34,10,38,69,34,31,39,76,46,30,29,22,90,34,38,42,30,101,108,65,36,40,23,35,36,54,38,29,36,54,23,53,68,48,27,42,35,24,38,15,64,38,65,25,47,34,101,30,31,44,32,25,31,18,29,50,38,40,77,32,45,28,20,30,43,37,17,48,24,41,19,50,51,44,51,32,32,41,32,34,18,28,38,49,33,35,49,139,13,29,32,33,69,35,26,25,33,33,39,41,35
150174000,64,104,106,36,26,66,46,43,32,51,86,36,55,30,95,23,54,86,62,24,44,47,46,21,63,88,70,55,15,37,59,69,127,26,29,58,84,57,36,53,100,44,56,75,64,102,36,50,18,26,42,40,40,50,41,41,42,52,121,62,44,45,49,40,32,92,90,69,48,42,53,32,62,37,34,56,35,48,45,43,34,65,33,74,35,55,61,38,29,44,58,47,59,55,70,83,27,40,42,76,54,39,22,41,50,64,34,45,48,22,56,49,63,56,53,45,57,70,61,41,68,59,43,98,50,75,57,57,72,52,57,64,63,35,50,55,42,27,33,53,45,67,62,54,39,54,69,65,50,81,69,33,76,64,74,52,24,37,30,61,24,59,58,43,58,23,32,78,84,100,88,84,27,68,52,48,25,22,31,76,71,34,41,84,63,56,28,89,81,52,57,31,68,25,92,26,65,51,71,32,73,65,52,57,68,89,43,36,97,47,25,33,62,31,47,50,83,41,27,35,32,96,33,43,46,44,82,105,63,27,52,32,37,44,53,39,40,27,50,35,80,88,44,32,14,15,29,21,28,57,48,57,57,50,39,102,35,39,47,31,23,53,59,37,50,35,43,74,45,36,24,20,34,63,32,27,62,39,54,41,48,72,43,63,45,58,28,17,32,28,33,41,53,30,31,49,120,38,43,26,42,68,39,25,33,29,39,36,38,41
150174500,57,98,90,37,23,64,45,40,36,26,81,38,49,38,77,32,45,92,67,37,43,34,47,21,64,82,58,43,29,25,36,59,136,17,46,45,58,41,30,58,60,43,64,44,85,136,41,37,13,32,33,24,40,39,39,29,43,162,98,61,47,33,50,57,34,66,80,50,20,30,21,36,49,49,29,41,44,47,33,53,24,61,35,64,28,45,60,51,31,39,41,29,34,58,50,72,33,66,46,66,40,22,15,43,46,54,23,33,53,41,58,50,41,39,56,53,48,74,52,28,45,47,49,80,36,41,44,56,49,45,41,47,63,37,39,56,57,33,33,53,36,64,53,44,40,48,56,50,64,58,69,17,59,48,56,54,21,38,63,49,22,39,46,23,50,15,15,66,82,75,99,88,35,59,47,47,48,21,29,73,62,36,40,76,61,57,48,63,69,28,48,26,55,49,68,20,58,20,62,29,61,50,74,30,85,61,36,32,79,31,21,31,61,34,31,30,88,41,31,28,24,69,37,39,48,33,89,93,54,36,40,21,28,37,43,39,36,31,58,34,59,76,37,29,17,26,38,30,7,51,54,43,53,42,48,82,28,45,47,29,36,62,47,50,66,36,48,53,42,35,25,16,33,72,35,36,76,37,54,32,43,54,43,56,28,36,35,24,28,33,20,40,58,40,24,43,132,37,37,37,30,46,31,24,37,33,45,43,29,56
150175000,51,92,102,30,24,69,50,33,29,39,87,30,45,26,69,18,30,135,39,41,53,45,50,23,58,85,65,41,37,26,38,43,121,29,43,53,88,66,39,78,59,34,58,75,87,92,48,29,22,29,43,35,49,29,39,23,40,44,110,41,66,30,57,63,29,42,55,47,20,33,18,48,54,61,47,33,34,57,27,57,23,35,43,74,29,72,66,54,30,45,46,36,34,34,63,76,29,45,40,76,44,36,26,48,49,48,15,31,55,23,38,48,52,46,72,55,60,65,47,38,63,53,44,76,40,43,51,57,47,42,38,43,49,26,45,52,53,50,31,56,31,70,70,52,27,43,60,60,53,58,69,28,78,60,58,48,15,66,50,64,19,41,37,40,63,17,28,69,65,72,98,78,29,55,49,39,35,16,47,77,67,24,36,79,45,55,33,86,50,47,46,36,60,32,73,43,63,37,84,68,52,54,62,36,71,72,42,33,68,35,15,33,65,24,40,16,78,43,34,35,31,76,26,35,48,35,96,81,43,45,83,66,31,35,38,29,31,19,62,23,69,64,44,31,38,21,25,35,24,49,42,54,55,57,36,94,30,45,40,24,41,69,58,76,45,28,57,67,46,36,13,20,32,73,44,41,81,34,43,21,61,52,59,66,66,52,24,26,32,19,33,62,49,43,33,31,91,78,32,26,34,43,40,29,23,39,37,35,40,46
150175500,66,83,106,45,22,57,55,37,42,27,91,41,63,23,66,31,35,137,41,52,50,45,33,29,42,96,72,37,23,27,25,56,104,17,46,57,98,56,28,74,79,38,62,72,92,89,42,39,19,22,55,37,28,39,43,26,32,48,112,31,46,42,44,79,47,57,74,47,15,26,22,31,34,52,27,62,26,41,22,74,24,60,27,79,27,68,55,46,32,45,27,48,51,52,86,104,26,34,31,96,49,41,39,25,53,42,22,52,67,10,44,23,41,58,83,48,77,74,55,39,66,58,49,47,37,63,60,52,46,48,46,51,58,37,54,49,42,36,25,61,54,81,48,62,42,46,62,60,46,70,76,22,75,78,64,56,21,53,50,76,24,39,34,52,75,18,34,81,70,98,86,89,43,42,43,50,41,13,48,85,74,23,42,66,66,43,56,82,49,43,46,40,53,47,67,49,51,53,97,47,66,56,73,31,65,68,46,36,82,39,38,28,61,21,52,38,97,50,18,32,51,90,21,42,45,44,114,93,48,32,92,96,41,43,59,26,26,32,76,33,48,54,36,32,33,19,24,38,34,44,33,65,62,37,40,90,42,43,46,33,34,76,63,111,60,28,86,48,38,22,18,25,31,104,31,51,91,40,44,28,55,46,38,72,67,62,28,35,30,23,48,50,67,13,32,29,82,100,28,25,34,40,48,28,25,45,46,59,35,56
150176000,68,79,73,40,35,68,44,46,38,31,95,44,55,25,55,33,30,114,47,32,57,40,40,23,36,83,58,43,19,27,41,55,107,21,45,51,85,75,28,84,81,35,42,55,79,72,24,30,15,14,30,26,39,30,31,27,35,27,91,41,46,48,52,47,39,59,50,42,15,35,14,34,36,42,29,55,20,37,38,59,29,72,40,61,20,48,54,44,37,29,23,51,26,44,68,60,23,30,33,59,39,48,33,22,61,47,20,29,52,17,39,40,48,49,72,49,60,60,51,39,59,40,45,48,32,46,50,50,52,45,37,30,49,33,46,47,44,36,23,55,37,54,39,49,36,54,55,50,47,49,61,25,62,42,53,62,20,46,23,67,13,53,23,39,42,14,26,72,62,89,60,63,28,41,46,35,36,13,41,70,59,26,35,47,53,42,40,58,44,28,36,27,46,37,36,41,53,27,87,41,56,59,65,40,75,68,33,41,62,36,39,29,65,23,44,32,83,39,29,41,36,111,23,33,46,30,79,89,49,54,94,108,43,31,41,35,25,36,76,32,54,68,35,42,27,20,27,32,19,65,33,45,34,43,37,93,29,32,25,42,46,56,59,72,40,35,63,60,40,23,17,3,44,67,25,45,60,41,43,21,56,33,30,50,52,38,33,14,47,24,23,65,63,54,53,32,74,49,28,21,49,31,33,31,35,24,50,44,33,33
